name,online_order,book_table,rate,votes,location,rest_type,cuisines,2_people,type
Aishwarya Uphar,No,No,3.7535684020485616,0,Ulsoor,Quick Bites,"South Indian, North Indian",150.0,Delivery
Ultra Biriyani Paradise,No,No,3.3,9,Shanti Nagar,Quick Bites,Biryani,300.0,Delivery
Nithyothsav - Hotel Ramanashree,No,No,3.0,31,MG Road,Casual Dining,"North Indian, Chinese",1000.0,Delivery
BISO - Citrus Hotels,No,Yes,3.9,156,Cunningham Road,Casual Dining,others,1100.0,Delivery
Khally Wally,No,No,3.7535684020485616,0,MG Road,Quick Bites,"Biryani, Kebab",250.0,Delivery
Stir Fry,No,No,4.0,209,Residency Road,Casual Dining,"Chinese, Momos",500.0,Delivery
Natural Ice Cream,No,No,4.2,221,St. Marks Road,Dessert Parlor,"Ice Cream, Desserts",150.0,Delivery
New Arya Bhavan,No,No,3.1,23,MG Road,Quick Bites,others,300.0,Delivery
AM Biryani Junction,No,No,3.7535684020485616,0,Richmond Road,Quick Bites,"North Indian, Chinese, Biryani",300.0,Delivery
Kabab and Biryani Centre,No,No,3.7535684020485616,0,Richmond Road,Quick Bites,"North Indian, Fast Food",300.0,Delivery
Chocolate Philosophy,No,No,3.7535684020485616,0,MG Road,Dessert Parlor,Desserts,500.0,Delivery
Sandhya Sagar,No,No,3.7535684020485616,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, South Indian",300.0,Delivery
Aruba's Lucknow Sheermal House,No,No,3.7535684020485616,0,Frazer Town,Quick Bites,others,400.0,Delivery
Cake My Day,No,No,3.7535684020485616,0,Lavelle Road,Delivery,Desserts,450.0,Delivery
Shilpa Vegetarian Restaurant,No,No,3.7535684020485616,0,others,Quick Bites,"South Indian, North Indian, Chinese",350.0,Delivery
Pappu BC,No,No,3.7535684020485616,0,others,Quick Bites,"North Indian, Biryani",300.0,Delivery
Chaat Chatore,No,No,3.7535684020485616,0,MG Road,Quick Bites,others,150.0,Delivery
AAlvina Restaurant,No,No,3.7535684020485616,0,others,Quick Bites,"North Indian, South Indian, Chinese",400.0,Delivery
VT Sindhur Veg,No,No,3.3,13,Richmond Road,Casual Dining,"North Indian, Chinese",600.0,Delivery
Mughals Restaurant,No,No,3.2,17,others,Casual Dining,others,550.0,Delivery
Sri Krishna Foodline,No,No,3.3,4,Ulsoor,Quick Bites,North Indian,100.0,Delivery
Indy's Comfort Food,No,No,4.1,399,others,Quick Bites,others,300.0,Delivery
Just Baked,No,No,3.7535684020485616,0,others,others,"Bakery, Desserts",400.0,Delivery
Ambur Hot Dum Biriyani,No,No,3.7535684020485616,0,others,Quick Bites,Biryani,250.0,Delivery
Sri Sai Sagar Food,No,No,3.7535684020485616,0,MG Road,Quick Bites,others,300.0,Delivery
La Mirch,No,No,3.7535684020485616,0,Ulsoor,Delivery,others,400.0,Delivery
FixMyNutrition,No,No,3.7535684020485616,0,Richmond Road,"Takeaway, Delivery",others,500.0,Delivery
The Nourished Kitchen,No,No,3.7535684020485616,0,BTM,Delivery,others,400.0,Delivery
Night Kitchen,No,No,3.7535684020485616,0,others,Quick Bites,others,600.0,Delivery
Lazeez Khana,No,No,3.7535684020485616,0,others,"Takeaway, Delivery",others,300.0,Delivery
21 Corner Haus Cafe,No,No,3.7535684020485616,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, Biryani",300.0,Delivery
The Taste Adda,No,No,3.7535684020485616,0,Ulsoor,Quick Bites,others,200.0,Delivery
Lassi Corner,Yes,No,3.7535684020485616,0,others,others,others,300.0,Delivery
Tasty Treats,No,No,3.7535684020485616,0,MG Road,Quick Bites,others,350.0,Delivery
Agnihotri Cuisines,No,No,3.7535684020485616,0,MG Road,"Takeaway, Delivery",others,500.0,Delivery
Chaithanya Andhra Style Family Restaurant,No,No,3.2,4,Cunningham Road,Casual Dining,others,600.0,Delivery
The Sugar Therapy,No,No,3.8,25,Richmond Road,others,"Desserts, Bakery",500.0,Delivery
Al Sadique Restaurant,No,No,3.5,31,Frazer Town,Quick Bites,others,350.0,Delivery
Shake N Snack,No,No,3.6,18,Shanti Nagar,others,"Beverages, Fast Food",200.0,Delivery
Backyard,No,No,3.7535684020485616,0,Richmond Road,Quick Bites,others,400.0,Delivery
New Kohinoor Hotel,No,No,3.2,9,others,Casual Dining,North Indian,450.0,Delivery
Little Bites,No,No,3.6,7,MG Road,others,"Cafe, Fast Food",200.0,Delivery
Magic Biryani,No,No,3.7535684020485616,0,Richmond Road,Quick Bites,"Biryani, Kebab",150.0,Delivery
RR Catering,No,No,3.4,10,MG Road,Quick Bites,"North Indian, Chinese, Biryani",350.0,Delivery
Belgian Waffle,No,No,3.7535684020485616,0,Residency Road,Dessert Parlor,Desserts,250.0,Delivery
Ambur Hot Dum Biryani,No,No,3.1,6,Shanti Nagar,Quick Bites,"Biryani, Kebab",250.0,Delivery
Jerome Coffee & Food court,No,No,3.7535684020485616,0,MG Road,Quick Bites,others,150.0,Delivery
Kanis Kitchen,No,No,3.6,14,others,Quick Bites,South Indian,250.0,Delivery
Hit and Run,No,No,3.7,15,others,others,others,350.0,Delivery
Bhaiyajees,No,No,3.7,16,Richmond Road,"Takeaway, Delivery","North Indian, South Indian",300.0,Delivery
Le ChÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©ri,No,No,3.8,33,Shanti Nagar,Delivery,"Bakery, Desserts",350.0,Delivery
The Donut Baker,No,No,3.0,31,Ulsoor,others,Desserts,150.0,Delivery
Cake of the Day,No,No,3.5,19,others,others,Bakery,150.0,Delivery
Bhaiya Ji Food Court,No,No,3.0,16,Ulsoor,Quick Bites,others,150.0,Delivery
Chinese Corner,No,No,3.7535684020485616,0,Church Street,Quick Bites,Chinese,200.0,Delivery
Grahaira,No,No,3.7535684020485616,0,others,Quick Bites,North Indian,300.0,Delivery
The Bao Belly,No,No,3.3,9,Residency Road,Cafe,Cafe,400.0,Delivery
Zaiqa,No,No,3.4,8,Richmond Road,Quick Bites,"North Indian, Chinese",350.0,Delivery
Rescafe,No,No,3.8,41,Residency Road,Quick Bites,Beverages,100.0,Delivery
Bhaiyaji Food Court,No,No,3.4,27,MG Road,Quick Bites,others,300.0,Delivery
Tandoor Da Funda,No,No,3.6,15,MG Road,Quick Bites,North Indian,350.0,Delivery
Kung Foods,No,No,3.7535684020485616,0,others,Quick Bites,Chinese,500.0,Delivery
Food Court,No,No,3.7535684020485616,0,Richmond Road,Quick Bites,Fast Food,100.0,Delivery
Rabiya Caterers,No,No,3.7535684020485616,0,Shanti Nagar,"Takeaway, Delivery",others,600.0,Delivery
Cake Couture,No,No,3.7535684020485616,0,others,"Takeaway, Delivery","Bakery, Desserts",350.0,Delivery
Adithya Tiffin Centre,No,No,3.7535684020485616,0,Shanti Nagar,"Takeaway, Delivery",North Indian,200.0,Delivery
Jhonsons Happy Kitchen,No,No,3.7535684020485616,0,Richmond Road,Quick Bites,"South Indian, Chinese",300.0,Delivery
Hunger House 32,No,No,3.7535684020485616,0,others,Quick Bites,"North Indian, Chinese",300.0,Delivery
Smoothies Cafe,Yes,No,3.7535684020485616,0,others,"Takeaway, Delivery",others,200.0,Delivery
Bhartiya Jalpan,No,No,3.7535684020485616,0,others,Casual Dining,others,800.0,Delivery
Lazzet Lee,No,No,3.7535684020485616,0,Lavelle Road,Quick Bites,others,400.0,Delivery
Batter Splatter,No,No,3.3,5,Lavelle Road,others,Bakery,350.0,Delivery
Malabar Kitchen,Yes,No,3.2,5,others,Quick Bites,others,300.0,Delivery
Vasudev Adiga's,No,No,3.0,53,Church Street,Quick Bites,"South Indian, North Indian, Chinese, Street Food",250.0,Delivery
Skyline Family Restaurant,Yes,No,3.4,33,Shanti Nagar,Casual Dining,others,550.0,Delivery
Casa Express,No,No,2.6,26,Residency Road,Quick Bites,others,400.0,Delivery
Pappu Chaiwalla,No,No,3.3,33,St. Marks Road,Quick Bites,others,300.0,Delivery
The French Loaf,Yes,No,2.8,142,Frazer Town,others,"Bakery, Desserts",300.0,Delivery
Shiv Sagar,No,No,3.7535684020485616,0,MG Road,Casual Dining,"South Indian, North Indian, Chinese",800.0,Delivery
LocalHost,No,No,3.7535684020485616,0,Whitefield,Quick Bites,others,100.0,Delivery
Shiv Sagar,No,No,3.7535684020485616,0,Brigade Road,Quick Bites,others,250.0,Delivery
Royal Tea House,Yes,No,3.7535684020485616,0,others,Quick Bites,North Indian,100.0,Delivery
Fortune,Yes,No,3.7535684020485616,0,others,others,South Indian,300.0,Delivery
Siddique Kabab Centre,Yes,No,3.9,430,Frazer Town,Casual Dining,others,550.0,Delivery
Akshaya Sambrama Veg Restaurant,Yes,No,3.2,13,others,Quick Bites,"South Indian, Chinese",200.0,Delivery
Nawab's Kolkatta Roll,Yes,No,3.4,4,Brigade Road,others,others,150.0,Delivery
Royal Restaurant,No,No,3.2,7,others,Quick Bites,"North Indian, Chinese",200.0,Delivery
Shree Sadguru Refreshment,Yes,No,3.2,4,Ulsoor,Quick Bites,"South Indian, Chinese",400.0,Delivery
Shan Restaurant,Yes,No,3.0,20,Brigade Road,Casual Dining,others,400.0,Delivery
Hotel Nisarga Grand,Yes,No,3.6,32,others,Casual Dining,"South Indian, North Indian, Chinese",500.0,Delivery
Wow Tasty Food,Yes,No,3.7535684020485616,0,Frazer Town,Quick Bites,others,300.0,Delivery
Baahubelly,Yes,No,3.8,69,Brigade Road,Casual Dining,"South Indian, North Indian",500.0,Delivery
Kerala Kitchen,Yes,No,3.2,31,Brigade Road,Quick Bites,others,200.0,Delivery
Hatti Punjab Di,Yes,No,2.8,20,Brigade Road,Casual Dining,"North Indian, Chinese",550.0,Delivery
Safa Hotel,Yes,No,3.7535684020485616,0,others,Quick Bites,"North Indian, Biryani",200.0,Delivery
Hotel New Sagar,Yes,No,3.7535684020485616,0,others,Quick Bites,"North Indian, Chinese, Biryani",300.0,Delivery
Apsara Hotel,Yes,No,3.7535684020485616,0,others,Quick Bites,North Indian,150.0,Delivery
Cool Corner Arun Ice Cream,Yes,No,3.5,8,Frazer Town,Dessert Parlor,"Desserts, Ice Cream",200.0,Delivery
Deccan Spices,Yes,No,3.7,23,Richmond Road,Quick Bites,others,500.0,Delivery
Fahad Kabab Centre,Yes,No,3.7535684020485616,0,Frazer Town,Quick Bites,others,150.0,Delivery
Ambur Hot Dum Biryani,Yes,No,3.2,6,Ulsoor,Quick Bites,Biryani,300.0,Delivery
Sri Rama,Yes,No,3.2,4,others,Quick Bites,South Indian,200.0,Delivery
Pooja Veg,Yes,No,3.1,9,Frazer Town,Quick Bites,South Indian,100.0,Delivery
Happy Eats,Yes,No,3.7535684020485616,0,Indiranagar,Delivery,others,300.0,Delivery
Promac Foods,Yes,No,3.7535684020485616,0,Shanti Nagar,"Takeaway, Delivery","North Indian, South Indian",250.0,Delivery
Magic Box,Yes,No,3.3,21,Indiranagar,"Takeaway, Delivery","South Indian, North Indian, Chinese",300.0,Delivery
Sethi's,Yes,No,3.7535684020485616,0,Frazer Town,Delivery,others,600.0,Delivery
Hungry Birds,Yes,No,3.2,6,Koramangala 7th Block,Delivery,Chinese,300.0,Delivery
Gowdara Naati Mane,Yes,No,3.7535684020485616,0,Residency Road,Casual Dining,"South Indian, Biryani",600.0,Delivery
Cravisthan,Yes,No,3.7535684020485616,0,Domlur,Quick Bites,"South Indian, North Indian",500.0,Delivery
Funjabi,Yes,No,3.5,140,Church Street,Casual Dining,North Indian,600.0,Delivery
Eatato Snack Bar,Yes,No,3.3,11,Brigade Road,Casual Dining,"North Indian, Fast Food",400.0,Delivery
Pinxx - Royal Orchid Central,Yes,Yes,3.8,198,MG Road,Casual Dining,others,1600.0,Delivery
Zodiac - Fortune Select JP Cosmos Hotel,Yes,Yes,3.8,91,Cunningham Road,Casual Dining,others,1800.0,Delivery
Cafe Mangii,Yes,Yes,4.3,1048,Lavelle Road,Casual Dining,others,1600.0,Delivery
Dunkin' Donuts,Yes,No,4.1,1079,Brigade Road,others,others,550.0,Desserts
Belgian Waffle Factory,Yes,No,4.9,1746,Brigade Road,Dessert Parlor,Desserts,400.0,Desserts
Delisias,No,No,3.7535684020485616,0,Brigade Road,others,Bakery,400.0,Desserts
The Flying Squirrel,No,No,4.0,24,Brigade Road,Cafe,others,450.0,Desserts
XO Belgian Waffle,Yes,No,4.4,215,Brigade Road,others,"Desserts, Beverages",450.0,Desserts
All Saints Bakery,No,No,3.6,23,Brigade Road,others,Bakery,200.0,Desserts
Munchies,Yes,No,3.9,64,Brigade Road,others,others,250.0,Desserts
Mad Over Donuts,Yes,No,3.9,148,Brigade Road,others,others,450.0,Desserts
Pabrai's Fresh & Naturelle Icecreams,Yes,No,4.2,131,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",180.0,Desserts
Kanti Sweets,Yes,No,3.9,100,Brigade Road,others,"Mithai, Street Food",400.0,Desserts
Keventers,No,No,3.0,14,Brigade Road,others,others,400.0,Desserts
Sweet Chariot,Yes,No,3.5,9,Brigade Road,others,"Bakery, Fast Food",500.0,Desserts
Cookie Man,Yes,No,3.4,36,Brigade Road,Dessert Parlor,Bakery,150.0,Desserts
Baskin Robbins,Yes,No,3.7,24,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",250.0,Desserts
Croons,No,No,3.8,26,Brigade Road,Dessert Parlor,Desserts,350.0,Desserts
MiniMelts,No,No,3.9,66,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",200.0,Desserts
Gelato Italiano,Yes,No,3.0,40,Brigade Road,Dessert Parlor,others,200.0,Desserts
Lassi Shop,Yes,No,3.7,17,Brigade Road,others,others,200.0,Desserts
Snow Gola,No,No,3.7,17,Brigade Road,Dessert Parlor,Desserts,150.0,Desserts
Oven Lovin',No,No,3.7535684020485616,0,Brigade Road,"Takeaway, Delivery","Desserts, Bakery",300.0,Desserts
Mist N Creams,No,No,3.7535684020485616,0,Brigade Road,Dessert Parlor,Ice Cream,400.0,Desserts
Mount Blue,No,No,3.7535684020485616,0,Brigade Road,others,"Bakery, Fast Food",300.0,Desserts
Bombay Kulfi,No,No,3.7535684020485616,0,Brigade Road,Dessert Parlor,"Desserts, Ice Cream",150.0,Desserts
Ibaco,Yes,No,4.0,93,Brigade Road,Dessert Parlor,Desserts,300.0,Desserts
The Bangalore Cafe,No,Yes,4.1,473,Shanti Nagar,Casual Dining,others,800.0,Desserts
Green Theory,Yes,Yes,4.2,2840,Residency Road,others,others,800.0,Desserts
Alchemy - The Chancery Pavilion,No,Yes,4.3,446,Residency Road,others,others,2000.0,Desserts
The White Room - Coffee & Kitchen,No,Yes,4.0,1703,Church Street,Cafe,others,1000.0,Desserts
Glen's Bakehouse,Yes,No,4.4,1087,Lavelle Road,others,others,600.0,Desserts
Art of Delight,No,No,4.4,1896,Residency Road,Dessert Parlor,others,400.0,Desserts
Fabelle Chocolate Boutique - ITC Gardenia,No,No,4.5,232,Richmond Road,Dessert Parlor,others,1250.0,Desserts
Bengaluru Baking Company - JW Marriott Bengaluru,No,No,4.3,521,Lavelle Road,others,others,1400.0,Desserts
Bhagatram Sweets,No,No,3.6,221,others,Quick Bites,others,300.0,Desserts
Fabcafe,Yes,Yes,4.1,54,MG Road,Cafe,others,800.0,Desserts
99 Pancakes,Yes,No,4.1,41,Church Street,Dessert Parlor,"Desserts, Ice Cream",150.0,Desserts
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,Yes,No,4.1,114,Richmond Road,Cafe,others,700.0,Desserts
Skoolroom,Yes,No,4.3,570,Ulsoor,Cafe,others,700.0,Desserts
Lakeview Milkbar,No,No,4.0,1443,MG Road,others,others,500.0,Desserts
GMT - Gelateria Montecatini Terme,Yes,No,4.4,69,Lavelle Road,Quick Bites,"Desserts, Ice Cream",300.0,Desserts
IceBreakers,No,No,4.3,183,Church Street,Dessert Parlor,"Desserts, Ice Cream",400.0,Desserts
Corner House Ice Cream,No,No,4.5,292,Lavelle Road,Dessert Parlor,"Ice Cream, Desserts",400.0,Desserts
The Bengaluru Brasserie - Hyatt Centric MG Road,No,Yes,4.1,117,Ulsoor,Casual Dining,others,2000.0,Desserts
Marzipan Cafe & Bakery,Yes,No,4.2,432,Ulsoor,others,others,700.0,Desserts
Nossa Goa,Yes,Yes,4.1,294,Richmond Road,Casual Dining,others,1000.0,Desserts
Happy Belly Bakes,Yes,No,4.2,115,MG Road,others,others,500.0,Desserts
Amma's Pastries,No,No,4.0,97,Ulsoor,Dessert Parlor,Bakery,400.0,Desserts
Koshy's,No,No,3.6,52,Richmond Road,others,"Bakery, Fast Food",300.0,Desserts
Haji Ali Juice Centre,Yes,No,4.0,78,others,others,others,350.0,Desserts
The Waffle Press,Yes,No,4.3,116,St. Marks Road,Dessert Parlor,"Desserts, Ice Cream",400.0,Desserts
Amande Patisserie,Yes,No,4.2,231,Lavelle Road,others,others,300.0,Desserts
Sugar & Spice - Taj MG Road Bengaluru,No,No,4.0,79,MG Road,Dessert Parlor,Desserts,800.0,Desserts
The Chocolate Heaven,No,No,3.7535684020485616,0,others,others,others,600.0,Desserts
Anand Sweets and Savouries,No,No,4.0,183,others,Quick Bites,"Mithai, Street Food",400.0,Desserts
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.0,85,Residency Road,others,others,400.0,Desserts
ROYCE' Chocolate,No,No,3.5,19,Lavelle Road,others,Desserts,1000.0,Desserts
Rawal Jalebi,Yes,No,3.5,10,others,Dessert Parlor,Desserts,100.0,Desserts
Frozen Bottle,Yes,No,3.7,19,others,others,others,400.0,Desserts
Fatima Bakery,No,No,3.7,14,Richmond Road,others,"Bakery, Fast Food",300.0,Desserts
Gandharva Bakery and Sweets,No,No,3.7535684020485616,0,Ulsoor,others,Bakery,400.0,Desserts
Bakers 77,No,No,3.7535684020485616,0,MG Road,others,"Bakery, Fast Food",400.0,Desserts
Tewari Bros Mithai Shoppie,Yes,No,3.8,59,others,others,others,300.0,Desserts
Iyengars' Bakery,No,No,3.4,14,Richmond Road,others,Bakery,200.0,Desserts
Just Bake,Yes,No,3.5,33,Shanti Nagar,others,"Bakery, Desserts",400.0,Desserts
Bowring Kulfi,No,No,4.0,100,Residency Road,Dessert Parlor,"Ice Cream, Desserts",150.0,Desserts
Yauatcha PÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¢tisserie,Yes,No,3.9,53,MG Road,Dessert Parlor,Desserts,600.0,Desserts
Santhanam Sweets & Savouries,No,No,3.9,34,others,others,"Mithai, Street Food",150.0,Desserts
Smoor,Yes,No,4.1,63,MG Road,Dessert Parlor,Desserts,900.0,Desserts
Sreeraj Lassi Bar,Yes,No,3.9,61,Shanti Nagar,others,others,150.0,Desserts
Pop'z Kitchen,No,No,3.7,23,Lavelle Road,others,Bakery,250.0,Desserts
ZOROY Luxury Chocolate,Yes,No,4.0,68,Church Street,Dessert Parlor,Desserts,250.0,Desserts
The Lobby Brew - Conrad Bengaluru,No,Yes,3.8,25,Ulsoor,Cafe,others,2200.0,Desserts
Shilpa Veg,No,No,3.6,37,others,Quick Bites,others,250.0,Desserts
Chocolate Junction,No,No,3.8,29,Ulsoor,Dessert Parlor,Desserts,200.0,Desserts
The Cake House,Yes,No,3.7,29,Ulsoor,others,"Bakery, Desserts",300.0,Desserts
Sri Jayalakshmi Bakery,No,No,3.4,5,Shanti Nagar,others,others,250.0,Desserts
Chef Baker's,Yes,No,3.7535684020485616,0,MG Road,others,"Bakery, Desserts",600.0,Desserts
Excelsior Bakery,No,No,3.6,15,others,others,Bakery,100.0,Desserts
Drunken Monkey,Yes,No,4.0,122,Church Street,others,"Beverages, Fast Food",400.0,Desserts
The French Loaf,Yes,No,2.9,46,Ulsoor,others,others,400.0,Desserts
Daily Bite,Yes,No,3.5,14,Richmond Road,Quick Bites,others,250.0,Desserts
Mithai Ghar,No,No,3.7535684020485616,0,others,others,others,200.0,Desserts
Natural Ice Cream,No,No,4.2,221,St. Marks Road,Dessert Parlor,"Ice Cream, Desserts",150.0,Desserts
Delices,Yes,No,3.1,6,Ulsoor,others,"Bakery, Desserts",400.0,Desserts
Krispy Kreme,Yes,No,4.0,47,Richmond Road,Dessert Parlor,"Desserts, Beverages",300.0,Desserts
Ooty Chocolates,Yes,No,3.5,17,Residency Road,Dessert Parlor,Desserts,300.0,Desserts
Surya Bakery,No,No,3.5,21,Shanti Nagar,others,Bakery,200.0,Desserts
Chocolate Philosophy,No,No,3.7535684020485616,0,MG Road,Dessert Parlor,Desserts,500.0,Desserts
Jai Mataji Farshan and Sweets,No,No,3.7535684020485616,0,Ulsoor,others,"Mithai, Street Food",150.0,Desserts
Cake My Day,No,No,3.7535684020485616,0,Lavelle Road,Delivery,Desserts,450.0,Desserts
Robin Brown Ice Cream,Yes,No,3.7535684020485616,0,others,Dessert Parlor,Ice Cream,200.0,Desserts
Aubree,Yes,No,3.7535684020485616,0,others,others,others,400.0,Desserts
Up Bhavan,No,No,3.4,6,others,others,"Mithai, Street Food",150.0,Desserts
Ice N Spice,No,No,3.7,17,MG Road,Dessert Parlor,Desserts,200.0,Desserts
Mishra Pedha,No,No,3.3,4,Richmond Road,others,others,300.0,Desserts
South Calcutta Sweets & Chat,No,No,3.7535684020485616,0,others,Quick Bites,others,200.0,Desserts
Just Baked,No,No,3.7535684020485616,0,others,others,"Bakery, Desserts",400.0,Desserts
Me And My Cake,No,No,3.7535684020485616,0,Shanti Nagar,others,"Bakery, Desserts",500.0,Desserts
Sapna's Magic Oven,No,No,3.7535684020485616,0,Shanti Nagar,others,Bakery,200.0,Desserts
FixMyNutrition,No,No,3.7535684020485616,0,Richmond Road,"Takeaway, Delivery",others,500.0,Desserts
Hyper Scoop,Yes,No,3.7535684020485616,0,Shanti Nagar,Dessert Parlor,"Desserts, Ice Cream",300.0,Desserts
Rajeev Bakery & Juice,Yes,No,3.7535684020485616,0,Richmond Road,others,others,150.0,Desserts
The Sugar Therapy,No,No,3.8,25,Richmond Road,others,"Desserts, Bakery",500.0,Desserts
Delhi Bhavan,No,No,3.4,11,others,Quick Bites,others,150.0,Desserts
S R & Sons Bakery,No,No,3.5,10,others,Dessert Parlor,Bakery,100.0,Desserts
Deli Counter - Gateway Hotel,No,No,3.5,6,Residency Road,Dessert Parlor,Bakery,500.0,Desserts
Rage Chocolatier,No,No,3.7535684020485616,0,Residency Road,others,Desserts,400.0,Desserts
Brea,No,No,3.2,7,others,others,Bakery,300.0,Desserts
Belgian Waffle,No,No,3.7535684020485616,0,Residency Road,Dessert Parlor,Desserts,250.0,Desserts
Le ChÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©ri,No,No,3.8,33,Shanti Nagar,Delivery,"Bakery, Desserts",350.0,Desserts
The Donut Baker,No,No,3.0,31,Ulsoor,others,Desserts,150.0,Desserts
Arya S.L.Bakery,No,No,3.7535684020485616,0,Richmond Road,others,others,200.0,Desserts
Bhaiyaji Food Court,No,No,3.4,27,MG Road,Quick Bites,others,300.0,Desserts
Lake N Bake,No,No,3.7535684020485616,0,others,others,others,300.0,Desserts
Arya Bhavan Sweets,No,No,3.2,6,MG Road,others,others,300.0,Desserts
Thanco's Natural Ice Cream,No,No,3.7535684020485616,0,others,Dessert Parlor,"Ice Cream, Desserts",450.0,Desserts
The Corner - Hyatt Centric MG Road,No,No,3.7535684020485616,0,Ulsoor,Cafe,others,1000.0,Desserts
Batter Splatter,No,No,3.3,5,Lavelle Road,others,Bakery,350.0,Desserts
Sweet Truth,Yes,No,4.1,49,Residency Road,Delivery,"Bakery, Desserts",500.0,Desserts
The Belgian Waffle Co.,Yes,No,3.7,73,Residency Road,Dessert Parlor,"Desserts, Beverages",350.0,Desserts
Ganache - The Ritz-Carlton,No,No,3.9,49,Residency Road,Dessert Parlor,Bakery,600.0,Desserts
Berrylicious Cafe,Yes,No,4.1,125,MG Road,others,others,900.0,Desserts
Third Wave Coffee Roasters @ The Bohemian House,No,No,3.7535684020485616,0,Richmond Road,Cafe,others,800.0,Desserts
Hammered,Yes,Yes,4.7,4657,Cunningham Road,others,others,1300.0,Desserts
Thom's Bakery,No,No,4.1,211,Frazer Town,others,"Bakery, Fast Food",200.0,Desserts
Dolci Desserts,Yes,No,4.3,652,Cunningham Road,others,others,750.0,Desserts
The Culinarium,No,No,3.7,22,others,others,others,1100.0,Desserts
L'inoui,Yes,No,4.1,33,Cunningham Road,Dessert Parlor,Desserts,400.0,Desserts
Brownie Heaven,Yes,No,4.2,33,Cunningham Road,Dessert Parlor,others,300.0,Desserts
Cool Corner Arun Ice Cream,Yes,No,3.5,8,Frazer Town,Dessert Parlor,"Desserts, Ice Cream",200.0,Desserts
Priya Bakery,No,No,3.7535684020485616,0,others,Quick Bites,others,150.0,Desserts
Udupi Anand Bhavan Sweets,No,No,3.7535684020485616,0,others,others,others,300.0,Desserts
Cake of the Day,No,No,3.5,19,others,others,Bakery,150.0,Desserts
Cafe Coffee Day,No,No,3.7535684020485616,0,others,Cafe,"Cafe, Fast Food",900.0,Desserts
Tea and Wine Lounge,No,No,3.5,10,others,Cafe,others,800.0,Desserts
Cobaja,Yes,Yes,4.3,61,Brigade Road,Casual Dining,others,700.0,Dine-out
Double Decker,No,Yes,4.3,2651,Brigade Road,others,others,1300.0,Dine-out
Hae Kum Gang,No,Yes,4.4,1187,Brigade Road,Casual Dining,others,1100.0,Dine-out
Arbor Brewing Company,No,Yes,4.5,8375,Brigade Road,others,others,2000.0,Dine-out
The Permit Room,No,No,4.5,1573,Brigade Road,others,South Indian,1500.0,Dine-out
ShakesBierre,No,Yes,4.4,256,Brigade Road,others,others,1500.0,Dine-out
NoLimmits Lounge and Club,Yes,Yes,4.0,2103,Brigade Road,others,others,2000.0,Dine-out
Empire Restaurant,Yes,No,4.4,2090,Brigade Road,Casual Dining,others,750.0,Dine-out
The Barn - Bar & Kitchen,No,Yes,4.2,240,Brigade Road,others,others,1500.0,Dine-out
Kitchen On Table,Yes,No,4.0,48,Brigade Road,Casual Dining,others,1500.0,Dine-out
Laughing Llama Gastropub,Yes,Yes,4.3,393,Brigade Road,others,others,1600.0,Dine-out
Kobe Sizzlers,Yes,No,4.1,1117,Brigade Road,Casual Dining,others,1500.0,Dine-out
Plan B,No,No,4.2,4422,Brigade Road,others,others,1200.0,Dine-out
Panchavati Gaurav Thali,Yes,Yes,4.0,929,Brigade Road,Casual Dining,others,800.0,Dine-out
Pecos Classic,No,Yes,4.1,548,Brigade Road,others,Finger Food,1100.0,Dine-out
Guzzlers Inn,No,No,4.0,949,Brigade Road,others,"North Indian, Chinese",1100.0,Dine-out
Le Rock,Yes,No,4.0,1203,Brigade Road,others,others,2000.0,Dine-out
The Flying Squirrel,No,No,4.0,24,Brigade Road,Cafe,others,450.0,Dine-out
Dakshin Restaurant,Yes,No,3.6,16,Brigade Road,Casual Dining,others,800.0,Dine-out
Trick Or Treat,No,No,4.2,618,Brigade Road,Cafe,others,500.0,Dine-out
Pizza Hut,Yes,No,3.9,387,Brigade Road,Casual Dining,"Pizza, Fast Food",750.0,Dine-out
Fusion Lounge,No,No,2.0,395,Brigade Road,others,Finger Food,1500.0,Dine-out
OCEA HOTEL,Yes,No,3.7,279,Brigade Road,Casual Dining,others,800.0,Dine-out
Maravanthe,Yes,No,3.5,12,Brigade Road,Casual Dining,others,650.0,Dine-out
Kaulige Millet Corner,Yes,No,4.0,32,Brigade Road,Quick Bites,others,300.0,Dine-out
Thai House,Yes,No,4.2,127,Brigade Road,Casual Dining,others,700.0,Dine-out
Baba Da Dhaba,No,Yes,4.1,373,Brigade Road,Casual Dining,North Indian,650.0,Dine-out
Fatso's,Yes,No,3.8,72,Brigade Road,Cafe,others,650.0,Dine-out
The Chariot,Yes,No,2.9,50,Brigade Road,Quick Bites,"South Indian, North Indian, Chinese",350.0,Dine-out
